V1;pojemno��;�rednica;grubo��;"Obr�bka cieplna
CYKL [s]";"OEE
0,85";UWAGI;
;;;;;;;
;5-13,4;140;2,45-2,5;;;;*1,15
;5-6,7;;;35;40,3;W parach;
;10;;;60;69,0;;
;13,4;;;60;69,0;;
;6elip;140;2,7;35;40,3;W parach;
;5-13,4;140;2,8-2,85;;;;
;5-6,7;;;35;40,3;W parach;
;7,5;;;60;69,0;;
;10;;;60;69,0;;
;13,4;;;60;69,0;;
;5-13,4;140-141;3,1;;;;
;5-6,7;;;35;40,3;W parach;
;7;;;60;69,0;;
;8;;;60;69,0;;
;10;;;60;69,0;;
;13,4;;;60;69,0;;
;10;140;3,3;60;69,0;;
;5-10;140;3,4-3,45;;;;
;5;;;35;40,3;W parach;
;9;;;60;69,0;;
;10;;;60;69,0;;
;6,8elip;140-141;3,5;35;40,3;W parach;
;4-7elip, 7;140-141;3,7-3,8;;;;
;5;;;35;40,3;W parach;
;6;;;35;40,3;W parach;
;7;;;60;69,0;;
;10;;;60;69,0;;
;5;140;3,95;35;40,3;W parach;
;6;;;35;40,3;W parach;
;8;;;60;69,0;;
;10;;;60;69,0;;
;10;160;2,8;60;69,0;;
;10-14;160;3,4;;;;
;10;;;60;69,0;;
;14;;;60;69,0;;
;10;160;3,9-3,95;60;69,0;;
;10-15;171;3,45;;;;
;10;;;60;69,0;;
;8-11;171;3,6;;;;
;8;;;60;69,0;;
;8-11;178;3,1;60;69,0;;
;10;;;60;69,0;;
;8-11;178;3,2;;;;
;8;;;60;69,0;;
;10;;;60;69,0;;
;11;;;60;69,0;;
;8-15;178;3,6;;;;
;8;;;60;69,0;;
;15;;;60;69,0;;
;8,3-15,75;178;3,7-3,75-3,8;;;;
;8,3;;;60;69,0;;
;10,8;;;60;69,0;;
;14;;;60;69,0;;
;15,75;;;60;69,0;;
;10;178;4,4;60;69,0;;
;10-12elip,10;178;4,65;60;69,0;;
;12;;;60;69,0;;
;8-10;178;4,8;60;69,0;;
;15;178;4,9;60;69,0;;
;10-15;178;6,7;;0,0;;
;10;;;60;69,0;;
;15;;;60;69,0;;
;12;204;3;60;69,0;;
;13,4;204;3,4;60;69,0;;
;10,7-20;204;3,6;60;69,0;;
;13,4;;;60;69,0;;
;20;;;60;69,0;;
;10,7-20;204;3,8;60;69,0;;
;13,4;;;60;69,0;;
;20;;;60;69,0;;
;10,7-20;204;4,1;60;69,0;;
;13,4;;;60;69,0;;
;20;;;60;69,0;;
;13,4;204;4,8;60;69,0;;
;15;204;5,6;60;69,0;;
