V2;pojemność;średnica;grubość;"PRASY DL
CYKL [s]";"OEE
0,75";;;;grubość
;;;;;;;;;
;40;229;3;90;112,5;*1,25;;;3
;40;229;3,3;90;112,5;;;;3,3
;26,8;229;4;90;112,5;;;;4
;50;229;4,1;90;112,5;;;;4,1
;33,4;229;4,2;90;112,5;;;;4,2
;50;229;4,8-4,85;92;115,0;;;;4,8
;40;229;5,2-5,3;90;112,5;;;;5,2
;50;229;5,2-5,3;93;116,3;;;;5,2
;50;229;5,6-5,65;93;116,3;;;;5,6
;50;229;6;95;118,8;;;;6
;50;229;6,2-6,3;98;122,5;;;;6,2
;50;229;7,3;105;131,3;;;;7,3
;50;229;8,1;110;137,5;;;;8,1
;50;229;8,5;110;137,5;;;;8,5
;50;229;9,2;115;143,8;;;;9,2
;50;229;9,8;120;150,0;;;;9,8
;30,5;237;4,3;90;112,5;;;;4,3
;34,6;244;4,4;90;112,5;;;;4,4
;67,5;267;4,4;105;131,3;;;;4,4
;67,5;267;4,9;110;137,5;;;;4,9
;67,5;267;5,2;110;137,5;;;;5,2
;67,5;267;5,65;110;137,5;;;;5,65
;80;267;5,65;115;143,8;;;;5,65
;80;267;7;120;150,0;;;;7
;80;267;7,5;120;150,0;;;;7,5
;29;273;4,9;90;112,5;;;;4,9
;26;280;5,1;90;112,5;;;;5,1
;100;316;4,9;120;150,0;;;;4,9
;80;316;6,6;120;150,0;;;;6,6
;36;320;5,7;95;118,8;;;;5,7
;80;320;5,7;115;143,8;;;;5,7
;95;320;5,7;120;150,0;;;;5,7
;118;320;5,7;120;150,0;;;;5,7
