litry;prumer;stena;takt;takt_plan;pracoviste_id
5;140;2,45;;;ML - Obróbka cieplna
5;140;2,45;35;40,3;ML - Obróbka cieplna
10;140;2,45;60;69,0;ML - Obróbka cieplna
13,4;140;2,45;60;69,0;ML - Obróbka cieplna
6elip;140;2,7;35;40,3;ML - Obróbka cieplna
5;140;2,8;;;ML - Obróbka cieplna
5;140;2,8;35;40,3;ML - Obróbka cieplna
7,5;140;2,8;60;69,0;ML - Obróbka cieplna
10;140;2,8;60;69,0;ML - Obróbka cieplna
13,4;140;2,8;60;69,0;ML - Obróbka cieplna
5;140-141;3,1;;;ML - Obróbka cieplna
5;140-141;3,1;35;40,3;ML - Obróbka cieplna
7;140-141;3,1;60;69,0;ML - Obróbka cieplna
8;140-141;3,1;60;69,0;ML - Obróbka cieplna
10;140-141;3,1;60;69,0;ML - Obróbka cieplna
13,4;140-141;3,1;60;69,0;ML - Obróbka cieplna
10;140;3,3;60;69,0;ML - Obróbka cieplna
5;140;3,4;;;ML - Obróbka cieplna
5;140;3,4;35;40,3;ML - Obróbka cieplna
9;140;3,4;60;69,0;ML - Obróbka cieplna
10;140;3,4;60;69,0;ML - Obróbka cieplna
6,8elip;140-141;3,5;35;40,3;ML - Obróbka cieplna
4;140-141;3,7;;;ML - Obróbka cieplna
5;140-141;3,7;35;40,3;ML - Obróbka cieplna
6;140-141;3,7;35;40,3;ML - Obróbka cieplna
7;140-141;3,7;60;69,0;ML - Obróbka cieplna
10;140-141;3,7;60;69,0;ML - Obróbka cieplna
5;140;3,95;35;40,3;ML - Obróbka cieplna
6;140;3,95;35;40,3;ML - Obróbka cieplna
8;140;3,95;60;69,0;ML - Obróbka cieplna
10;140;3,95;60;69,0;ML - Obróbka cieplna
10;160;2,8;60;69,0;ML - Obróbka cieplna
10;160;3,4;;;ML - Obróbka cieplna
10;160;3,4;60;69,0;ML - Obróbka cieplna
14;160;3,4;60;69,0;ML - Obróbka cieplna
10;160;3,9;60;69,0;ML - Obróbka cieplna
10;171;3,45;;;ML - Obróbka cieplna
10;171;3,45;60;69,0;ML - Obróbka cieplna
8;171;3,6;;;ML - Obróbka cieplna
8;171;3,6;60;69,0;ML - Obróbka cieplna
8;178;3,1;60;69,0;ML - Obróbka cieplna
10;178;3,1;60;69,0;ML - Obróbka cieplna
8;178;3,2;;;ML - Obróbka cieplna
8;178;3,2;60;69,0;ML - Obróbka cieplna
10;178;3,2;60;69,0;ML - Obróbka cieplna
11;178;3,2;60;69,0;ML - Obróbka cieplna
8;178;3,6;;;ML - Obróbka cieplna
8;178;3,6;60;69,0;ML - Obróbka cieplna
15;178;3,6;60;69,0;ML - Obróbka cieplna
8,3;178;3,7;;;ML - Obróbka cieplna
8,3;178;3,7;60;69,0;ML - Obróbka cieplna
10,8;178;3,7;60;69,0;ML - Obróbka cieplna
14;178;3,7;60;69,0;ML - Obróbka cieplna
15,75;178;3,7;60;69,0;ML - Obróbka cieplna
10;178;4,4;60;69,0;ML - Obróbka cieplna
10;178;4,65;60;69,0;ML - Obróbka cieplna
12;178;4,65;60;69,0;ML - Obróbka cieplna
8;178;4,8;60;69,0;ML - Obróbka cieplna
15;178;4,9;60;69,0;ML - Obróbka cieplna
10;178;6,7;;0,0;ML - Obróbka cieplna
10;178;6,7;60;69,0;ML - Obróbka cieplna
15;178;6,7;60;69,0;ML - Obróbka cieplna
12;204;3;60;69,0;ML - Obróbka cieplna
13,4;204;3,4;60;69,0;ML - Obróbka cieplna
10,7;204;3,6;60;69,0;ML - Obróbka cieplna
13,4;204;3,6;60;69,0;ML - Obróbka cieplna
20;204;3,6;60;69,0;ML - Obróbka cieplna
10,7;204;3,8;60;69,0;ML - Obróbka cieplna
13,4;204;3,8;60;69,0;ML - Obróbka cieplna
20;204;3,8;60;69,0;ML - Obróbka cieplna
10,7;204;4,1;60;69,0;ML - Obróbka cieplna
13,4;204;4,1;60;69,0;ML - Obróbka cieplna
20;204;4,1;60;69,0;ML - Obróbka cieplna
13,4;204;4,8;60;69,0;ML - Obróbka cieplna
15;204;5,6;60;69,0;ML - Obróbka cieplna
